Conference,Website,Theme,Date,Submission Date,Place,Association,From Chapter,Paper Title,Abstract,Text
Dariah Days,https://elte-dh.hu/en/conf22/,Networks,20221123,20220615,Budapest,DARIAH-EU,5i Collections,,,
RSA San Juan,https://www.rsa.org/page/ConferenceSubmissionsGuide,Early Modern Printing,20230309,20220715,San Juan,Renaissance Society,2v Special Collections Go to College,,,
